ID,medv
1,28.65158238
2,24.21208780
3,31.97082753
8,18.28518020
15,19.60058725
16,20.30409548
18,18.00583317
21,14.22667123
22,18.46926646
23,16.64457980
24,15.04630538
27,16.87540585
30,20.36713606
37,21.18165001
38,21.88772408
39,21.94619231
40,29.58065021
41,33.13798548
42,29.16395654
47,20.57123702
52,23.01775125
58,31.71615960
63,24.00655298
66,28.72077380
67,23.36712090
68,20.93815327
71,24.89658334
72,21.18787109
73,23.85291896
74,24.44705711
77,21.82524210
78,22.62235222
79,21.23170422
84,24.30556721
86,26.47160261
89,30.16787041
93,25.77938734
94,26.62928200
96,26.75647665
97,24.23696024
103,19.46663317
110,19.40026915
111,20.85524804
112,24.96438147
113,20.26798391
114,19.39024721
115,23.74881943
116,20.08055697
117,22.59938010
118,22.43886262
125,18.47343721
128,15.46223872
132,19.44982158
133,20.15060877
138,18.81507242
139,14.59631348
141,14.47346499
146,13.73757181
149,12.08507067
151,20.96541529
153,21.19976933
154,17.76184028
155,21.63502521
160,29.98916328
163,43.89510621
167,42.15774204
175,23.96426795
176,28.67927571
179,29.50719916
180,32.81719547
183,34.39601403
184,29.18725075
187,38.52332645
188,29.86680319
194,30.67993423
196,40.91333201
199,33.17704019
200,30.97745751
203,38.00704978
204,41.82629924
205,41.96546713
207,23.31897526
210,17.75956470
212,18.86942287
216,24.47844285
218,25.84538172
219,22.29350448
221,30.00699662
226,40.70328710
228,32.18784543
229,38.50355734
231,22.84661545
233,39.59768207
235,29.82871947
237,28.51615233
242,22.73965116
247,21.08259143
248,20.04448416
249,22.08150108
252,27.23179811
253,28.49629119
254,36.08385768
255,23.35679805
256,21.21281278
257,35.44854261
261,34.20597431
262,39.66924418
265,36.52650480
266,25.51349449
267,28.22179959
269,38.74573773
271,21.81634924
273,26.80154080
274,38.67092693
275,33.81701968
277,34.62868174
278,33.57545886
282,33.35396573
283,41.63081353
284,43.25163493
285,30.49577068
286,25.68746116
287,22.34203311
288,25.51752635
289,25.41769151
291,31.84822647
292,33.64113091
293,29.64916943
295,23.04234454
296,26.89678025
297,25.42200149
300,31.74891181
303,26.40280578
308,30.86980985
314,24.64485745
316,20.55176927
317,18.64086834
321,24.35189218
324,19.41616496
326,26.15745713
327,24.19544936
328,20.30016033
331,22.95841000
332,20.48368515
334,23.94036035
335,23.49623980
336,20.80099204
338,19.69881657
346,18.70523381
348,24.83267100
356,19.34786777
358,22.04885856
361,28.62494609
365,41.93022556
366,25.43414015
371,38.59811488
375,6.83283479
381,15.54897620
383,13.64874248
384,13.42163642
387,8.09538593
388,7.97900490
389,8.52787055
391,15.89500996
395,14.68055957
398,14.87953576
400,12.13787710
402,14.21812484
403,16.28047399
408,24.00533194
410,17.96592688
416,10.35423673
417,13.37179931
419,8.86492518
420,14.01758869
422,17.20603911
428,15.42173226
430,13.20877071
434,16.40697344
445,11.04296336
448,17.81704911
449,17.10239035
451,16.24697152
453,18.37279065
457,14.09471793
458,14.52158675
460,18.77884564
464,21.76202257
471,19.33112764
472,21.34023697
474,23.73505696
475,16.10284186
478,13.34022798
479,17.92805575
482,27.20631731
484,20.88691754
489,13.13055791
491,7.59905898
493,18.53104967
497,16.82719838
505,26.32485331
506,21.92340934
