ID,medv
1,28.95778238
2,23.24393166
3,32.59167100
8,16.53209601
15,19.21583573
16,20.53868173
18,18.41971235
21,15.27260827
22,18.21323641
23,16.44628161
24,15.44602264
27,17.58822074
30,19.76961308
37,19.77222423
38,20.39918692
39,20.48330608
40,28.67815844
41,33.51383907
42,30.25175046
47,20.48332356
52,22.00311086
58,31.94261603
63,24.34459407
66,27.22094702
67,20.18378748
68,20.29533042
71,24.69656415
72,19.99229002
73,22.83580430
74,24.54148692
77,21.39450337
78,22.30591870
79,22.54885462
84,23.55026700
86,25.38590572
89,31.61156121
93,24.15797243
94,25.35498492
96,26.32435241
97,23.79453480
103,20.42760713
110,19.73588299
111,20.80568890
112,22.91966937
113,20.16998937
114,19.05511302
115,22.28584155
116,20.19614069
117,21.36143083
118,21.27357419
125,18.11141827
128,16.77229552
132,19.70648254
133,20.46764942
138,18.80275855
139,15.47959098
141,15.88003608
146,14.85606524
149,14.48808368
151,20.57352447
153,20.77270847
154,17.24836941
155,19.78014589
160,32.58011278
163,44.36213071
167,46.20774728
175,21.34836936
176,26.66242193
179,28.19449640
180,33.99035972
183,35.92784153
184,27.78472577
187,41.66477587
188,27.70388247
194,30.52120106
196,42.61969196
199,33.41640699
200,32.88617156
203,40.78732428
204,42.59895108
205,42.56474645
207,22.83367509
210,18.66254853
212,19.95202102
216,24.56303908
218,23.80338855
219,19.08938822
221,25.98109721
226,42.84373258
228,31.85820970
229,39.33984661
231,21.72198749
233,41.57601621
235,26.41025146
237,26.73469881
242,21.55050265
247,21.70424500
248,20.91954159
249,23.09063152
252,28.00734815
253,31.75061089
254,41.03660664
255,22.45591605
256,20.67050127
257,36.41126391
261,32.72117222
262,43.86284096
265,38.50059683
266,22.72413704
267,24.95903837
269,40.28695493
271,20.61257412
273,25.90970943
274,36.21901049
275,30.70441900
277,31.97294541
278,30.77807863
282,33.22440548
283,38.83634632
284,40.26741246
285,30.75587076
286,24.26111696
287,23.94266241
288,24.39998909
289,24.00209039
291,32.02186556
292,33.31485409
293,28.54499931
295,21.86688674
296,25.74945207
297,24.60857304
300,32.06404305
303,24.22102171
308,29.29057017
314,24.26580720
316,20.24722143
317,19.22689877
321,23.47697197
324,18.70184406
326,25.99503450
327,24.13623800
328,20.70231905
331,23.31265556
332,20.00409683
334,24.51952273
335,24.37457280
336,20.75694340
338,19.23825712
346,19.65507499
348,24.66282239
356,21.21431089
358,19.51796127
361,34.04785069
365,40.95914969
366,36.05922185
371,41.30360250
375,9.83312697
381,15.60686455
383,12.75054584
384,12.62020643
387,8.27998829
388,8.67111970
389,9.11700132
391,15.48916826
395,14.84706919
398,13.57403415
400,13.25272183
402,10.37631992
403,14.16881766
408,23.50108776
410,16.98152310
416,9.31257154
417,13.22491742
419,8.53748589
420,14.46009483
422,18.34729659
428,17.45753740
430,12.65494002
434,15.17180595
445,9.79974822
448,16.68082734
449,15.72458486
451,15.43086703
453,17.61068259
457,15.18954869
458,15.74855196
460,19.73113805
464,21.38381323
471,17.81268890
472,21.43960406
474,21.47891658
475,16.66800992
478,15.01928719
479,16.85321094
482,26.75975699
484,21.88139802
489,15.29133682
491,11.10081931
493,20.46140553
497,18.51284574
505,27.12337593
506,21.79449618
