ID,medv
1,28.17300326
2,24.17433967
3,35.45201890
8,17.33707542
15,20.76896527
16,21.73005337
18,19.38630561
21,15.64786891
22,19.67010244
23,17.22834799
24,15.97803129
27,18.70099513
30,21.34981115
37,20.63187616
38,21.87256620
39,20.88078513
40,28.57280070
41,33.79922491
42,30.10905609
47,20.73195761
52,22.74636836
58,31.78491158
63,25.01529154
66,26.90189943
67,21.19057359
68,21.33093423
71,24.42123957
72,20.69313890
73,23.85927735
74,24.29300060
77,21.24483396
78,21.82627763
79,21.31923598
84,23.79523921
86,25.92900460
89,32.24855483
93,24.14308096
94,24.89252952
96,26.80942793
97,22.77291566
103,20.90768766
110,19.13013899
111,20.85122287
112,23.45035068
113,19.09934076
114,18.28728169
115,22.52555819
116,19.17054910
117,21.78297521
118,21.66818275
125,17.46818449
128,16.56094288
132,19.89742386
133,21.18135093
138,18.51355850
139,15.40656634
141,15.12508422
146,13.74080349
149,13.57644624
151,19.69866120
153,20.24789281
154,16.38462358
155,16.91491237
160,31.59922776
163,42.95411256
167,43.25083867
175,22.37598511
176,27.35299819
179,29.11068505
180,33.49099091
183,36.35157780
184,28.56725829
187,39.21384491
188,27.57089953
194,29.95486439
196,39.12663151
199,32.63457274
200,32.45139386
203,38.66930639
204,39.17171654
205,39.21913477
207,22.36053261
210,16.62376622
212,17.69747583
216,23.73319990
218,23.95251757
219,18.35482925
221,26.27455672
226,40.78449281
228,33.86497216
229,40.25297417
231,21.36886602
233,40.67831797
235,27.41382304
237,25.42060761
242,21.76921212
247,22.37429686
248,21.47781307
249,23.42445716
252,29.02977059
253,33.65914772
254,39.22785734
255,23.46174009
256,21.67737623
257,37.81110424
261,30.57300587
262,39.12478278
265,35.16660868
266,22.15339606
267,24.23167950
269,40.29411229
271,20.95444691
273,25.15109296
274,36.69154663
275,31.11401319
277,32.88965047
278,31.61369139
282,32.88203347
283,39.65697706
284,39.14438229
285,30.17437995
286,23.86101506
287,21.94409932
288,24.13553125
289,23.79829046
291,31.82103640
292,35.06352009
293,28.13244126
295,21.57210654
296,26.08087202
297,24.70909987
300,33.36514986
303,24.14428185
308,29.15922145
314,24.95533390
316,20.57538687
317,18.83849669
321,24.38886991
324,20.12111777
326,26.74844373
327,24.53477871
328,20.63761223
331,23.44903066
332,20.78935914
334,24.99446862
335,24.47818117
336,21.86681350
338,20.52779024
346,20.76126582
348,24.61054523
356,23.82265210
358,20.36686134
361,30.26013431
365,41.57710772
366,31.07636643
371,38.44120008
375,10.36215131
381,16.76987481
383,12.81954334
384,12.83530770
387,9.51525177
388,9.82736779
389,10.43452271
391,15.26470140
395,13.75491176
398,13.76839628
400,13.09327333
402,11.66631227
403,13.76292510
408,18.73635472
410,15.26202448
416,10.12569452
417,13.86223158
419,10.64923927
420,14.04925396
422,15.75593560
428,16.67594318
430,13.04415807
434,16.44163808
445,11.07585217
448,16.25896661
449,15.60264827
451,16.64857574
453,17.50306607
457,15.63141832
458,16.14869687
460,19.13022676
464,21.68572675
471,18.36034277
472,20.47764875
474,24.04400593
475,15.56419367
478,12.51659175
479,15.92899441
482,27.50220032
484,20.59409832
489,16.65961670
491,14.48239687
493,20.32578897
497,18.06417731
505,30.04835040
506,25.09087765
